original_sentence,nearest_neighbor,cosine_similarity
"ઓનલાઈન માહિતી ચોરી અને સાયબર હુમલા રોકવા સરકાર ટૂંક સમયમાં લાવશે નવા આદેશ, વર્ષ 2020 થયું આટલા લાખ કરોડનું નુકસાન",એક વર્ષ પહેલાં ભાજપ સરકારે મુંબઇમાં ચાર નવા સાયબર સેલ અને એક નવું સાયબર પોલીસ સ્ટેશન બનાવવાની ઘોષણા કરી હતી.,0.2066
અને બંગલો અત્યંત આધુનિક સુવિધાઓથી સજ્જ છે.,તે આધુનિક ટેકનોલોજીથી સજ્જ છે.,0.3906
આને પરિણામે ધોવાણના દરોમાં અને સૃષ્‍ટિમંડળ કાર્યો અથવા માનવ સેવાઓ માટે પાણીની ઉપલબ્‍ધિતામાં ફેરફાર થાય છે.,"પરિણામે સપાટી પર પાણીની ગુણવત્તામાં જમીન, ભૂગર્ભજળ અથવા વાતાવરણમાં ઝાડની હાજરી અથવા ગેરહાજરી ફેરફાર કરી શકે છે.",0.1874
નિફ્ટીના મિડકેપ 100 ઇન્ડેક્સમાં 0.,બીએસઇના મિડકેપ ઈન્ડેક્સ 0.,0.4013
સ્ક્રીન પર પહેલીવાર ઝોયા અખ્તરની ફિલ્મમાં રણવીર અને કેટરિનાની જોડી સાથે જોવા મળશે,હવે બોલિવૂડની હોટેસ્ટ જોડી દીપિકા અને રણવીર સિંહની વાત કરીએ તો આ બંને હંમેશાં સાથે જાહેરમાં પણ જોવા મળે છે.,0.2136
"જેમાં પિતા-પુત્રના મૃતદેહ કોઈ પણ પ્રકારનો ચાર્જ લીધા વગર ભારત મોકલી આપીશું, તેમ પણ જણાવ્યું હતું.",એમ પણ જણાવ્યું હતું.,0.2401
"પ્રદીપ ડવ, જીતુ કોઠારી, કીશોર રાઠોડ, નરેન્દ્રસિંહ ઠાકુર, ડો.",ડો.,0.2160
આમ છતાં જો આપને પણ ક્યાંય - વાંચનસામગ્રીના સંદર્ભમાં - એવું લાગતું હોય કે અમે ન કરવા જેવા કામ કરી રહ્યા છીએ કે કરવા જેવા કામ નથી કરતાં તો આપ અમને જણાવી શકો છો.,"આમિરની સાથે પણ જરૂર કામ કરવા ઇચ્છું છુ, જુહી સૌથી પહેલા સલમાન ખાનની સાથે કામ કરવા ઇચ્છે છે, કેમ કે, અત્યાર સુધી તેઓએ એક સાથે કામ નથી કર્યું.",0.1750
"તાલુકા પંચાયતના પ્રમુખ કલ્પનાબેન ગાવીતના હસ્તે ટીડીઓ હિરેન ચૌહાણ,ઉપ પ્રમુખ જીગ્નેશ ગાવીત સાહિતનાની ઉપસ્થિતિમાં ધ્વજ વંદન કરવામાં આવ્યું હતું.",ના પ્રમુખ વી.,0.1587
પ્રદુષણને કારણે કાર્બન ડાયોકસાઈડનું પ્રમાણ વધતા કેન્સર જેવા રોગો વધે છે તેમ ચર્ચામાં તજજ્ઞ અરૂણ દવેએ જણાવેલ હતું.,જેમાં આ વિષયક નિષ્ણાંતો કિરણ અવાસીયા તથા અરૂણ દવેએ ચર્ચામાં ભાગ લીધો હતો.,0.2280
અનિયમિત માસિકચક્ર આવતું હોય એવી મહિલાઓને માસિક આવવાના અંદાજિત દિવસ ઉપરાંત કેટલાક દિવસો પસાર થાય એટલે ગર્ભ હોવા વિશે શંકા ઊભી થાય.,અનિયમિત માસિક સ્રાવ;,0.2417
કોઈને માટે સભરતા છે.,કોઈને માટે શૂન્યતા છે.,0.2582
"કદાચ, કાઉન્ટર સ્ટ્રાઈકને માત્ર એક જ રમત કહેવાય છે જે વિશ્વની દરેક ગેમર જાણે છે.",રમત શરૂ કરો.,0.1862
"સાથે જ મહેસાણા, સાબરકાંઠા, ગાંધીનગર, અમદાવાદ, નર્મદા, નવસારી, તાપી, સુરત, વલસાડ, દમણ દાદરા નગર હવેલીમાં ભારે વરસાદની પણ આગાહી કરવામાં આવી છે.",અને હજુ પણ ભારે વરસાદની આગાહી છે.,0.3019
તે સમયે તેમની સારવાર દિલ્હીની એઇમ્સ હોસ્પિટલમાં કરવામાં આવ્યો હતો.,આ સમયે તેમની દીકરી પણ તેમની સાથે હતી.,0.2875
"ધામેચા, જયેન્દ્ર મહેતા, હેમભાઇ ચૌહાણ, વોર્ડ નં.",જયારે વોર્ડ નં.,0.3132
અઠવાડિયાના અંતે કોઈ વાતને લઈને ચિંતા થઈ શકે છે.,પ્રેમી કોઇ વાતને લઇ તમારાથી દુખી થઇ શકે છે.,0.2261
"૧માં હીતેશ મારૂ, જયરાજસિંહ જાડેજા, કાનાભાઇ ખાણધર, લલીત વાડોલીયા, તેજશ ત્રિવેદી, દુર્ગાબા જાડેજા, ડો.","જાડેજા, પી.",0.3125
સબસ્ટ્રેટને મદદથી માળ સપાટી અસરકારક કામગીરી દરમિયાન અસર નાના અનિયમિતતા સંરેખિત કરી શકાય છે;,પોષક સબસ્ટ્રેટને તૈયારી,0.2856
